Method,hit@1_mean,hit@1_std,precision@1_mean,precision@1_std,hit@5_mean,hit@5_std,precision@5_mean,precision@5_std,hit@10_mean,hit@10_std,precision@10_mean,precision@10_std,mrr@10_mean,mrr@10_std,ap@10_mean,ap@10_std,ndcg@10_mean,ndcg@10_std,hit@20_mean,hit@20_std,precision@20_mean,precision@20_std,mrr@20_mean,mrr@20_std,ap@20_mean,ap@20_std,ndcg@20_mean,ndcg@20_std,map@10_mean,map@10_std,map@20_mean,map@20_std
Deep_Autoencoder,0.3050,0.0194,0.3050,0.0194,0.5650,0.0087,0.2248,0.0058,0.6795,0.0111,0.1890,0.0072,0.4159,0.0144,0.1198,0.0057,0.2113,0.0071,0.7880,0.0133,0.1527,0.0062,0.4234,0.0147,0.0787,0.0051,0.1779,0.0061,0.1198,0.0057,0.0787,0.0051
Deep_CNN,0.7195,0.0289,0.7195,0.0289,0.7930,0.0220,0.7089,0.0282,0.8255,0.0299,0.6978,0.0305,0.7519,0.0279,0.6665,0.0318,0.7030,0.0298,0.8710,0.0311,0.6741,0.0323,0.7552,0.0279,0.6302,0.0341,0.6846,0.0312,0.6665,0.0318,0.6302,0.0341
Deep_Contrastive,0.7175,0.0190,0.7175,0.0190,0.8340,0.0170,0.6831,0.0185,0.8780,0.0168,0.6596,0.0251,0.7670,0.0153,0.6079,0.0237,0.6717,0.0220,0.9245,0.0156,0.6077,0.0227,0.7703,0.0153,0.5379,0.0241,0.6313,0.0212,0.6079,0.0237,0.5379,0.0241
