Method,hit@1_mean,hit@1_std,precision@1_mean,precision@1_std,hit@5_mean,hit@5_std,precision@5_mean,precision@5_std,hit@10_mean,hit@10_std,precision@10_mean,precision@10_std,mrr@10_mean,mrr@10_std,ap@10_mean,ap@10_std,ndcg@10_mean,ndcg@10_std,hit@20_mean,hit@20_std,precision@20_mean,precision@20_std,mrr@20_mean,mrr@20_std,ap@20_mean,ap@20_std,ndcg@20_mean,ndcg@20_std,map@10_mean,map@10_std,map@20_mean,map@20_std
Deep_Autoencoder,0.3160,0.0179,0.3160,0.0179,0.5605,0.0111,0.2238,0.0071,0.6780,0.0159,0.1875,0.0072,0.4212,0.0170,0.1203,0.0061,0.2113,0.0078,0.7945,0.0048,0.1533,0.0049,0.4294,0.0165,0.0797,0.0044,0.1788,0.0055,0.1203,0.0061,0.0797,0.0044
Deep_CNN,0.7195,0.0289,0.7195,0.0289,0.7930,0.0220,0.7089,0.0282,0.8255,0.0299,0.6978,0.0305,0.7519,0.0279,0.6665,0.0318,0.7030,0.0298,0.8710,0.0311,0.6741,0.0323,0.7552,0.0279,0.6302,0.0341,0.6846,0.0312,0.6665,0.0318,0.6302,0.0341
Deep_Contrastive,0.9255,0.1168,0.9255,0.1168,0.9580,0.0778,0.8916,0.1226,0.9700,0.0575,0.8639,0.1175,0.9395,0.1007,0.8347,0.1304,0.8772,0.1186,0.9805,0.0378,0.7903,0.1052,0.9403,0.0993,0.7449,0.1190,0.8215,0.1097,0.8347,0.1304,0.7449,0.1190
