Method,hit@1_mean,hit@1_std,precision@1_mean,precision@1_std,hit@5_mean,hit@5_std,precision@5_mean,precision@5_std,hit@10_mean,hit@10_std,precision@10_mean,precision@10_std,mrr@10_mean,mrr@10_std,ap@10_mean,ap@10_std,ndcg@10_mean,ndcg@10_std,hit@20_mean,hit@20_std,precision@20_mean,precision@20_std,mrr@20_mean,mrr@20_std,ap@20_mean,ap@20_std,ndcg@20_mean,ndcg@20_std,map@10_mean,map@10_std,map@20_mean,map@20_std
M8_CLAP,0.9600,0.0113,0.9600,0.0113,0.9905,0.0048,0.9476,0.0110,0.9950,0.0035,0.9322,0.0110,0.9730,0.0089,0.9155,0.0125,0.9388,0.0110,0.9975,0.0032,0.8996,0.0101,0.9732,0.0088,0.8746,0.0123,0.9140,0.0103,0.9155,0.0125,0.8746,0.0123
BEATs,0.9515,0.0083,0.9515,0.0083,0.9820,0.0040,0.9362,0.0036,0.9910,0.0041,0.9194,0.0040,0.9649,0.0050,0.9016,0.0054,0.9269,0.0037,0.9960,0.0012,0.8787,0.0068,0.9653,0.0048,0.8526,0.0079,0.8960,0.0055,0.9016,0.0054,0.8526,0.0079
M9_Hybrid,0.9610,0.0126,0.9610,0.0126,0.9900,0.0057,0.9441,0.0115,0.9945,0.0029,0.9275,0.0109,0.9737,0.0088,0.9096,0.0125,0.9350,0.0107,0.9980,0.0024,0.8912,0.0109,0.9739,0.0087,0.8644,0.0129,0.9072,0.0107,0.9096,0.0125,0.8644,0.0129
